date_time;nox;no2;no;siteid;pm10;nvpm10;vpm10;nvpm25;pm25;vpm25;co;o3;so2;temp;rh;press;location;geo_point_2d;datestart;dateend;current;instrumenttype
2020-11-23T01:00:00+00:00;227.6742;47.4785;117.5206;500;42.513;;;;;;;;;4.3;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-23T18:00:00+00:00;38.6363;29.0475;6.2537;500;11.594;;;;;;;;;8.8;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-24T00:00:00+00:00;8.3538;7.082;0.8295;500;7.73;;;;;;;;;9.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-24T02:00:00+00:00;5.072;4.2687;0.5239;500;8.696;;;;;;;;;9.1;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-25T15:00:00+00:00;217.4474;75.0212;92.888;500;39.614;;;;;;;;;7.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-25T23:00:00+00:00;429.5743;65.2502;237.606;500;37.682;;;;;;;;;3.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-26T09:00:00+00:00;343.1025;58.4508;185.645;500;32.851;;;;;;;;;1.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-27T08:00:00+00:00;303.0242;60.9949;157.8474;500;24.155;;;;;;;;;1.8;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-27T13:00:00+00:00;232.9119;63.6772;110.372;500;41.547;;;;;;;;;2.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-27T18:00:00+00:00;244.3984;63.9683;117.6734;500;36.716;;;;;;;;;3.3;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-28T00:00:00+00:00;58.8744;40.1988;12.1799;500;28.986;;;;;;;;;5.4;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-28T05:00:00+00:00;72.3002;35.7021;23.8686;500;32.851;;;;;;;;;7.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-29T12:00:00+00:00;125.6054;48.4933;50.2911;500;42.513;;;;;;;;;5.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-30T03:00:00+00:00;43.1116;37.8905;3.4051;500;11.594;;;;;;;;;4.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-30T08:00:00+00:00;76.7754;43.7417;21.544;500;23.189;;;;;;;;;6.0;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-11-30T10:00:00+00:00;60.6645;36.8682;15.5195;500;28.986;;;;;;;;;7.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-01T04:00:00+00:00;18.6966;12.0698;4.3219;500;17.392;;;;;;;;;2.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-01T15:00:00+00:00;211.2815;81.7575;84.4734;500;57.006;;;;;;;;;4.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-02T00:00:00+00:00;118.2792;50.5384;44.1794;500;31.885;;;;;;;;;3.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-02T13:00:00+00:00;75.5323;44.4063;20.2998;500;26.087;;;;;;;;;7.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-03T10:00:00+00:00;49.4764;38.7329;7.0067;500;5.797;;;;;;;;;6.2;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-03T14:00:00+00:00;58.3274;37.8445;13.3586;500;7.73;;;;;;;;;5.9;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-03T21:00:00+00:00;45.8962;26.7186;12.5073;500;10.628;;;;;;;;;3.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-04T02:00:00+00:00;12.481;11.0753;0.9168;500;5.797;;;;;;;;;2.8;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-04T03:00:00+00:00;10.0942;8.8893;0.7858;500;6.763;;;;;;;;;2.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-04T05:00:00+00:00;20.785;16.6684;2.6848;500;5.797;;;;;;;;;3.4;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-04T07:00:00+00:00;51.6146;31.4831;13.1294;500;10.628;;;;;;;;;3.7;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
2020-12-04T08:00:00+00:00;90.8476;48.9782;27.3065;500;15.459;;;;;;;;;3.6;;;Temple Way;51.4579497129,-2.58398909033;2017-08-01T00:00:00+00:00;;True;Continuous (Reference)
